Manufacturer,Automobile,Production,Sales,Sales_clean,Production_years
Jeep,Jeep Compass,"First Generation - 2006–2017, Second Generation - 2017–present",Approximately 730.000+ were built in 2 generations[276],730.0,12.0
Jensen,Jensen Interceptor,"1950-57, 1966–76","Total of 6,496 produced over two generations.[39]",6496.0,8.0
Kaiser,Kaiser Deluxe,1949–53,"Kaiser's best selling nameplate; approximately 130,000 built over two generations.[24]",130000.0,5.0
Lada,Lada Riva,1980–2013,"13,500,000 until exports to Europe were discontinued in 1997; the third bestselling single design. Including production up to the present in both Russia and Egypt, the total is 20,000,000 units.[277]",13500000.0,34.0
La,La Marquise,1884,"1.[278] Sold to a French army officer, Henri Doriol, in 1906.[278]",1.0,
Lagonda,"Lagonda 11, 11.9, 12 and 12/24",1913–26,"over 6,000.[279]",6000.0,14.0
Lagonda,Lagonda 14/60 and 2-litre Speed,1925–33,1440.[279],1440.0,9.0
Lagonda,Lagonda 16/65,1926–30,250.[279],250.0,5.0
Lagonda,Lagonda 3-litre,1928–34,570.[279],570.0,7.0
Lagonda,Lagonda 16/80,1928–34,260.[279],260.0,7.0
Lagonda,Lagonda Rapier,1933–38,"over 515, includes 45 built by Rapier Cars.[280]",515.0,6.0
Lagonda,Lagonda M45,1935,"463, includes 53 M45R Rapide[280]",463.0,
Lagonda,Lagonda 3.5-litre,1935,65.[280],65.0,
Lagonda,Lagonda LG45,1936–37,"303, including 25 Rapides.[280]",303.0,2.0
Lagonda,Lagonda LG6,1938–40,85.[280],85.0,3.0
Lagonda,Lagonda V12,1938–40,189.[280],189.0,3.0
Lagonda,Lagonda 2.6-Litre,1948–53,510.[281],510.0,6.0
Lagonda,Lagonda 3-Litre,1953–58,270.[281],270.0,6.0
Lagonda,Lagonda Rapide,1961–64,55.[281],55.0,4.0
Lagonda,Lagonda Taraf,2015–16,120.[282],120.0,2.0
Lamborghini,Lamborghini 350GT,1964–66,135 built.[283][284],135.0,3.0
Lamborghini,Lamborghini 400GT,1966–68,247 built.[285],247.0,3.0
Lamborghini,Lamborghini Aventador,2011–22,"11,465[286] with the first 1,000 Aventadors being built in 15 months.[287]",11465.0,12.0
Lamborghini,Lamborghini Countach,1974–1990,"2,042 of all variations, Lamborghini's longest-running nameplate.[288][289][290][291][292]",2042.0,17.0
Lamborghini,Lamborghini Diablo,1990–2001,"2,903 built.[293]",2903.0,12.0
Lamborghini,Lamborghini Espada,1968–78,"1,217 built.[294]",1217.0,11.0
Lamborghini,Lamborghini Gallardo,2004–13,"Formerly bestselling Lamborghini in history; 14,022 coupés and convertibles.[295]",14022.0,10.0
Lamborghini,Lamborghini Huracán,2014–present,"Formerly bestselling Lamborghini in history; 20,000th built in April 2022.[296]",20000.0,13.0
Lamborghini,Lamborghini Islero,1968–69,225.[294],225.0,2.0
Lamborghini,Lamborghini Jalpa,1981–88,410.[297],410.0,8.0
Lamborghini,Lamborghini Jarama,1970–76,327.[294],327.0,7.0
Lamborghini,Lamborghini LM002,1986–93,328 built.[294],328.0,8.0
Lamborghini,Lamborghini Miura,1966–72,764 built.[298],764.0,7.0
Lamborghini,Lamborghini Murciélago,2001–10,"4,099 built.[299]",4099.0,10.0
Lamborghini,Lamborghini Reventón,2007–09,20 built.[300],20.0,3.0
Lamborghini,Lamborghini Silhouette,1976–79,54.[301],54.0,4.0
Lamborghini,Lamborghini Urraco,1973–79,710.[302][303],710.0,7.0
Lamborghini,Lamborghini Urus,2018–present,"Bestselling Lamborghini in history; 20,000th in June 2022[304]",20000.0,9.0
Lancia,Lancia Stratos,1972–74,495 in a single generation.[305],495.0,3.0
Lancia,Lancia Montecarlo,1975–1978 1980–1981,"7,798 in a single generation including 220 037 variants.[306]",7798.0,4.0
Lancia,Lancia Dedra,1989–2000,"418,084 in a single generation.[307]",418084.0,12.0
Lancia,Lancia Ypsilon,1996–present,"over 870,000 to 2005.[308]",870000.0,31.0
Land,Land Rover Series/Defender,1948–2015,"over 2,000,000 (approx)[309]",2000000.0,68.0
Land,Land Rover Discovery,1989–present,"353,614 to 2015[310]",353614.0,38.0
Land,Land Rover Freelander,1997–2015,"310,619 to 2015[311]",310619.0,19.0
Land,Land Rover Discovery Sport,2014–present,"413,642 to 2019[312][313]",413642.0,13.0
Land,Land Rover Range Rover,1970–present,"1,000,000 in 3 generations[314]",1000000.0,57.0
Range,Range Rover Evoque,2011–present,"883,119 to 2019[315]",883119.0,16.0
Range,Range Rover Sport,2004–present,"747,569 to 2019[316][317]",747569.0,23.0
Lexus,Lexus CT,2011–2022,"380,000 to March 2022.[318]",380000.0,12.0
Lexus,Lexus LFA,2010–2012,500 in a single generation[319],500.0,3.0
Light,Light Car Company Rocket,1991–1998,55 in a single generation.[320],55.0,8.0
Lincoln,Lincoln Continental,1940–42 1946–48 1958–2002 2016–2020,"Lincoln's longest running nameplate; approximately 1,600,000 in nine generations not counting 1969 and later Lincoln Mark series and 1999–2002. (Production of 1999–2002 is unknown but a reasonable guess is about 120,000.)[24][25][84]",1600000.0,3.0
Lincoln,Lincoln Town Car,1981–2011,"Lincoln's bestselling nameplate; approximately 2,290,000 in three generations not counting 2005–2011. (Production of 2005–2011 is unknown but a reasonable guess is about 160,000.)[25][321]",2290000.0,31.0
Lincoln,Lincoln Versailles,1977–80,"50,156 in a single generation.[211]",50156.0,4.0
Lola,Lola T70,"1965–70, 1980, 2007",Over 100 three different versions.[322],100.0,6.0
Lotus,Lotus Elise,1996–2021,"Lotus Cars' bestseller; 20,000 in two generations to December 2004.[323]",20000.0,26.0
McLaren,McLaren F1,1993–98,106 in a single generation.[324],106.0,6.0
McLaren,McLaren P1,2013–15,"Variation of the 12C, 375 in a single generation.[325]",12.0,3.0
McLaren,McLaren 12C,2011–2014,1000th sold by June 2012 in its first year of production.[326] Best selling McLaren.,1000.0,4.0
Maruti,Maruti 800,1984–2010,"Rebadged Suzuki Alto, and the bestselling car in India; 2,400,000 of a single generation.[327]",2400000.0,27.0
Maserati,Maserati Biturbo,1981–1994,"Over 38,000 over a single generation. Best selling Maserati.[328]",38000.0,14.0
Maserati,Maserati 3200 GT,1998–2002,"4,795 in a single generation.[329]",4795.0,5.0
Maserati,Maserati Coupé and Spyder,2001–2007,"Total 13,423 in a single generation,[330] including Spyder: 3,889, Coupé: 6,449, GranSport: 2,613 and GranSport Spyder: 472.",13423.0,7.0
Maserati,Maserati MC12,2004–05,"Variation of the Enzo Ferrari. 62 in a single generation, figure include 50 road cars, 5 development cars, 12 Corse,[331] 10 GT-1[332][333][334]",62.0,2.0
Maserati,Maserati GranTurismo,2007–2019,"28,805 GranTurismos and 11,715 GranCabrios in a single generation.[335]",28805.0,13.0
Maybach,Maybach 57 and 62,2002–13,"3,000 estimated in a single generation.[336]",3000.0,12.0
Matra,Matra Rancho,1977–1984,"57,792 sold over a single generation.[337]",57792.0,8.0
Mazda,Mazda 3,2003–present,"Mazda's fastest ever seller, 4,000,000 build from 2003 – 2014; known as the Mazda Axela in the Japanese domestic market.[338]",4000000.0,24.0
Mazda,Mazda 6,2002–present,"Mazda's previous fastest seller; 3,000,000 in twelve years. 1,945,850 in first generation. 718,882 in second generation[339]",3000000.0,25.0
Mazda,Mazda Familia,1963–2003,"Also badged as the Protegé and 323; over 10,000,000 in the first eight generations to 1995.[340]",10000000.0,41.0
Mazda,Mazda MPV,1988–2016,"1,000,000 in three generations.[339]",1000000.0,29.0
Mazda,Mazda MX-5,1989–present,"Also known as the Miata and Eunos Roadster; almost 750,000 in the first two generations to 2005, verified by the Guinness Book of Records as the bestselling two-seater sports car in history.[341]",750000.0,38.0
Mazda,Mazda R360,1960–1966,"23,417 in a single generation.[342]",23417.0,7.0
