Manufacturer,Automobile,Production,Sales,Sales_clean,Production_years
Plymouth,Plymouth Fury,1959–78,"Plymouth's best selling nameplate and longest lasting car nameplate; approximately 3,680,000 in seven generations (counting VIPs, but not counting 1959 and 1962 Sport Furys and 1975–77 Gran Furys).[24][25]",3680000.0,20.0
Plymouth/Chrysler,Plymouth/Chrysler Prowler,1997 1999–2002,"10,218 in a single generation between the two marques.[395]",10218.0,3.0
Dodge,Dodge Aries/Plymouth Reliant,1981–89,"Known as the 'K-cars' after their common platform; 1,114,618 in a single generation between the two marques.[121]",1114618.0,9.0
Plymouth,Plymouth Voyager,1974–2000,"Plymouth's longest lasting nameplate and best selling truck nameplate; approximately 2,280,000 in four generations from 1974 to 1976 and from 1987 to 1999. (Including Grand Voyager. Sales for 1977–86 and 2000 are unknown, although a reasonable guess is about 500,000 total.)[104]",2280000.0,27.0
Pontiac,Pontiac Astre,1975–77,"147,773 in a single generation.[103]",147773.0,3.0
Pontiac,Pontiac Aztek,2000–07,"119,692 in a single generation.[396][397][398][399][400][401]",119692.0,8.0
Pontiac,Pontiac Bonneville,1958–2005,"Pontiac's longest running and best selling full-size nameplate; approximately 3,460,000 in ten generations not counting those part of the earlier Star Chief line and those made from 1999 to 2005. (Production for 1999–2005 is unknown but a good guess places it at about 400,000.)[24][25]",3460000.0,48.0
Pontiac,Pontiac Firebird,1967–2002,"Approximately 2,500,000 in four generations.[402]",2500000.0,36.0
Pontiac,Pontiac Grand Am,1973–75 1978–80 1985–2006,"Pontiac's bestselling nameplate; over 4,000,000 in five generations.",4000000.0,3.0
Porsche,Porsche 356,1948–65,"76,313 in a single generation.[403]",76313.0,18.0
Porsche,Porsche 550,1953–56,90 in a single generation.[404],90.0,4.0
Porsche,Porsche 911,1963–present,"1,000,000th produced in May 2017.[405]",1000000.0,64.0
Porsche,Porsche 904,1964–65,106 in a single generation.[406],106.0,2.0
Porsche,Porsche 906,1966–67,65 in a single generation.[407][408],65.0,2.0
Porsche,Porsche 908,1968–71,"69 in 4 body variations; accounting for 22 908K Coupe,[409] 10 908L Coupe,[410] 24 908/02 Spyder, 13 908/03[411][412]",69.0,4.0
Porsche,Porsche 914,1969–76,"118,978 in a single generation.[413]",118978.0,8.0
Porsche,Porsche 917,1969–73,"65 in total accounting for 25 regular 1969 917, 9 917K, 9 917LH, 1 Spyder, 3 917PA, 13 917/10, 1 917/20, 6 917/30[414][415]",65.0,5.0
Porsche,Porsche 924,1976–88,"152,081 in a single generation.[416]",152081.0,13.0
Porsche,Porsche 928,1978–95,"61,056 in a single generation.[417]",61056.0,18.0
Porsche,Porsche 944,1982–91,"163,192 in a single generation.[418]",163192.0,10.0
Porsche,Porsche 956,1982–84,"28 in a single design, accounting for 10 factory team cars, and 18 customer cars.[419][420][421]",28.0,3.0
Porsche,Porsche 962,1984–92,"93 in total, accounting for 16 factory team cars, and 77 customer cars, overall number also account for cars upgraded from its 956 predecessors and cars rebuilt from previously wrecked cars and subsequently allocated new chassis numbers.[419][422][423]",93.0,9.0
Porsche,Porsche 959,1987-89,Variant of the 911. 337 in single design accounting for racing cars.[424],911.0,3.0
Porsche,Porsche 968,1992–95,"12,776[425]",12776.0,4.0
Porsche,Porsche Boxster,1996–present,"Over 200,000 produced over two generations (2008).[426]",200000.0,31.0
Porsche,Porsche Cayenne,2002–present,"65,660 up to 2011 in two generations.[427]",65660.0,25.0
Porsche,Porsche Carrera GT,2004–06,"1,270 in a single generation.[428]",1270.0,3.0
Porsche,Porsche Panamera,2009–present,"Total of 164,503 1st generations built in 2016[429]",164503.0,18.0
Porsche,Porsche 918,2013–15,918 in a single generation.[430],918.0,3.0
Porsche,Porsche Macan,2014–present,"350,000 to 2018[431]",350000.0,13.0
Rambler,Rambler Classic,1961–66,"Rambler's best selling nameplate; approximately 1,460,000 in two generations including those produced in 1966 under American Motors.[24][25]",1460000.0,6.0
Renault,Renault 4,1961–92,"Over 8,000,000 of a single design.[432] Ninth best selling automobile platform in history.",8000000.0,32.0
Renault,Renault 4CV,1947–61,"1,105,547 of a single design; the first French car to achieve more than one million sales.[433]",1105547.0,15.0
Renault,Renault Dauphine,1956–67,"2,150,738 of a single design; Dauphines were produced in its production run of 10 years.[434]",2150738.0,12.0
Renault,Renault 5,1972–96,"5,471,709 in two generations.[187]",5471709.0,25.0
Renault,Renault Clio,1991–present,"The bestselling French car; 8,535,280 in the first two generations up to 2005.[435]",8535280.0,36.0
Renault,Renault Sport Spider,1996–1999,"1,685 in a single generation.[436]",1685.0,4.0
Renault,Renault Twingo,1993–present,"Over 2,400,000 of the monobox city car designed by Patrick le Quément.[437]",2400000.0,34.0
Renault,Renault Twizy,2012–2023,"21,874 sold through December 2018.[438][439]",21874.0,12.0
Renault,Renault Zoe,2012–2024,"170,700 worldwide through December 2019.[106]",170700.0,13.0
Rover,Rover 8,1904–1912,"2,200[440]",2200.0,9.0
Rover,Rover 6,1905–1912,"2,296[440]",2296.0,8.0
Rover,Rover 25,1999–2005,"227,934 made in a single generation. Sold in hatchback variation.[40]",227934.0,7.0
Rover,Rover 45,1999–2005,"147,457 made in a single generation. Sold in saloon and hatchback variations.[40]",147457.0,7.0
Rover,Rover 75,1999–2005,"238,324 made in a single generation. Sold in saloon and tourer variations. Also called the MG ZT and MG 7.[40]",238324.0,7.0
Rover,Rover 800,1986–1999,"317,126 made in two generations.[40]",317126.0,14.0
Saab,Saab 900,1978–93,"Saab's bestseller; 908,810 in a single generation of sedans, hatchbacks and convertibles.[441]",908810.0,16.0
